example,prompt,expected_response,base_model_output,fine_tuned_model_output
1,"Instruction: Review the customer market-research record and summarize purchasing behavior, strongest product preference, shopping-channel preference, response status, and a recommended marketing action.
Context: Education: Master; Marital status: Single; Income: $64,857; Recency: 78 days; Wine spend: $556; Fruit spend: $14; Meat spend: $717; Fish spend: $210; Sweet spend: $0; Gold spend: $43; Web purchases: 7; Catalog purchases: 5; Store purchases: 10; Latest campaign response: 0.","Customer value: high-value (total product spending $1,540). Top product: meat ($717). Preferred channel: store (10 purchases). Campaign response: did not respond. Recommendation: Test a targeted meat promotion through the store channel and measure response before scaling, while avoiding unnecessary demographic assumptions.",The Master is a single person and has a 78-day income.,"Customer value: mid-value (total product spending $1,033). Top product: wine ($566). Preferred channel: store (10 purchases). Campaign response: did not respond. Recommendation: Test a targeted wine promotion through the store channel and measure response before scaling, while avoiding unnecessary demographic assumptions."
2,"Instruction: Analyze this customer record. Identify customer value, preferred product category, preferred shopping channel, campaign response, and one marketing recommendation.
Context: Education: Graduation; Marital status: Married; Income: $7,500; Recency: 94 days; Wine spend: $0; Fruit spend: $2; Meat spend: $3; Fish spend: $4; Sweet spend: $1; Gold spend: $5; Web purchases: 0; Catalog purchases: 0; Store purchases: 3; Latest campaign response: 0.","Customer value: low-value (total product spending $15). Top product: gold ($5). Preferred channel: store (3 purchases). Campaign response: did not respond. Recommendation: Test a targeted gold promotion through the store channel and measure response before scaling, while avoiding unnecessary demographic assumptions.",Campaign response: 0,"Customer value: low-value (total product spending $42). Top product: gold ($5). Preferred channel: store (3 purchases). Campaign response: did not respond. Recommendation: Test a targeted gold promotion through the store channel and measure response before scaling, while avoiding unnecessary demographic assumptions."
3,"Instruction: Review the customer market-research record and summarize purchasing behavior, strongest product preference, shopping-channel preference, response status, and a recommended marketing action.
Context: Education: Graduation; Marital status: Single; Income: $18,701; Recency: 95 days; Wine spend: $12; Fruit spend: $4; Meat spend: $2; Fish spend: $10; Sweet spend: $6; Gold spend: $10; Web purchases: 2; Catalog purchases: 0; Store purchases: 4; Latest campaign response: 0.","Customer value: low-value (total product spending $44). Top product: wine ($12). Preferred channel: store (4 purchases). Campaign response: did not respond. Recommendation: Test a targeted wine promotion through the store channel and measure response before scaling, while avoiding unnecessary demographic assumptions.",The current campaign is 0.00%.,"Customer value: low-value (total product spending $47). Top product: wine ($12). Preferred channel: store (4 purchases). Campaign response: did not respond. Recommendation: Test a targeted wine promotion through the store channel and measure response before scaling, while avoiding unnecessary demographic assumptions."
4,"Instruction: Analyze this customer record. Identify customer value, preferred product category, preferred shopping channel, campaign response, and one marketing recommendation.
Context: Education: Graduation; Marital status: Married; Income: $90,000; Recency: 91 days; Wine spend: $675; Fruit spend: $144; Meat spend: $133; Fish spend: $94; Sweet spend: $192; Gold spend: $241; Web purchases: 4; Catalog purchases: 8; Store purchases: 5; Latest campaign response: 0.","Customer value: high-value (total product spending $1,479). Top product: wine ($675). Preferred channel: catalog (8 purchases). Campaign response: did not respond. Recommendation: Test a targeted wine promotion through the catalog channel and measure response before scaling, while avoiding unnecessary demographic assumptions.",Campaign response: 0,"Customer value: mid-value (total product spending $1,473). Top product: wine ($655). Preferred channel: catalog (8 purchases). Campaign response: did not respond. Recommendation: Test a targeted wine promotion through the catalog channel and measure response before scaling, while avoiding unnecessary demographic assumptions."
5,"Instruction: Using only the supplied customer data, produce a concise market-research profile with value level, top product, preferred channel, campaign response, and one actionable recommendation.
Context: Education: Graduation; Marital status: Divorced; Income: $27,215; Recency: 50 days; Wine spend: $30; Fruit spend: $5; Meat spend: $22; Fish spend: $8; Sweet spend: $9; Gold spend: $28; Web purchases: 2; Catalog purchases: 1; Store purchases: 4; Latest campaign response: 0.","Customer value: mid-value (total product spending $102). Top product: wine ($30). Preferred channel: store (4 purchases). Campaign response: did not respond. Recommendation: Test a targeted wine promotion through the store channel and measure response before scaling, while avoiding unnecessary demographic assumptions.","Marital status: Divorced; Income is $27,215; income is $27,215; income is $27,215; income is $27,215; income is $27,215; income is $27,215; income is $27,215; income is $27,215; income is $27,215; income is $27,215; income is $27,215; income is $27,215; income is $27,215; income is $27,215; income is $27,215; income is $27,215; income is $27,215; income is $27,215; income is $27,215","Customer value: mid-value (total product spending $43). Top product: wine ($30). Preferred channel: store (4 purchases). Campaign response: did not respond. Recommendation: Test a targeted wine promotion through the store channel and measure response before scaling, while avoiding unnecessary demographic assumptions."
6,"Instruction: Review the customer market-research record and summarize purchasing behavior, strongest product preference, shopping-channel preference, response status, and a recommended marketing action.
Context: Education: Graduation; Marital status: Together; Income: $50,116; Recency: 68 days; Wine spend: $54; Fruit spend: $0; Meat spend: $10; Fish spend: $0; Sweet spend: $0; Gold spend: $2; Web purchases: 1; Catalog purchases: 0; Store purchases: 4; Latest campaign response: 0.","Customer value: low-value (total product spending $66). Top product: wine ($54). Preferred channel: store (4 purchases). Campaign response: did not respond. Recommendation: Test a targeted wine promotion through the store channel and measure response before scaling, while avoiding unnecessary demographic assumptions.",The campaign received a 0.01% increase in income and a 0.01% increase in sales.,"Customer value: low-value (total product spending $17). Top product: wine ($54). Preferred channel: store (4 purchases). Campaign response: did not respond. Recommendation: Test a targeted wine promotion through the store channel and measure response before scaling, while avoiding unnecessary demographic assumptions."
7,"Instruction: Review the customer market-research record and summarize purchasing behavior, strongest product preference, shopping-channel preference, response status, and a recommended marketing action.
Context: Education: Graduation; Marital status: Single; Income: $30,828; Recency: 16 days; Wine spend: $16; Fruit spend: $11; Meat spend: $15; Fish spend: $2; Sweet spend: $0; Gold spend: $12; Web purchases: 1; Catalog purchases: 1; Store purchases: 4; Latest campaign response: 0.","Customer value: low-value (total product spending $56). Top product: wine ($16). Preferred channel: store (4 purchases). Campaign response: did not respond. Recommendation: Test a targeted wine promotion through the store channel and measure response before scaling, while avoiding unnecessary demographic assumptions.",The current campaign is 0.00%.,"Customer value: low-value (total product spending $1,092). Top product: wine ($16). Preferred channel: store (4 purchases). Campaign response: did not respond. Recommendation: Test a targeted wine promotion through the store channel and measure response before scaling, while avoiding unnecessary demographic assumptions."
8,"Instruction: Review the customer market-research record and summarize purchasing behavior, strongest product preference, shopping-channel preference, response status, and a recommended marketing action.
Context: Education: Graduation; Marital status: Together; Income: $71,853; Recency: 29 days; Wine spend: $358; Fruit spend: $108; Meat spend: $413; Fish spend: $141; Sweet spend: $97; Gold spend: $32; Web purchases: 2; Catalog purchases: 8; Store purchases: 6; Latest campaign response: 0.","Customer value: high-value (total product spending $1,149). Top product: meat ($413). Preferred channel: catalog (8 purchases). Campaign response: did not respond. Recommendation: Test a targeted meat promotion through the catalog channel and measure response before scaling, while avoiding unnecessary demographic assumptions.",The Marital status of the company is Together.,"Customer value: mid-value (total product spending $1,473). Top product: wine ($388). Preferred channel: catalog (8 purchases). Campaign response: did not respond. Recommendation: Test a targeted wine promotion through the catalog channel and measure response before scaling, while avoiding unnecessary demographic assumptions."
9,"Instruction: Review the customer market-research record and summarize purchasing behavior, strongest product preference, shopping-channel preference, response status, and a recommended marketing action.
Context: Education: Graduation; Marital status: Single; Income: $11,012; Recency: 82 days; Wine spend: $24; Fruit spend: $3; Meat spend: $26; Fish spend: $7; Sweet spend: $1; Gold spend: $23; Web purchases: 3; Catalog purchases: 1; Store purchases: 2; Latest campaign response: 0.","Customer value: mid-value (total product spending $84). Top product: meat ($26). Preferred channel: web (3 purchases). Campaign response: did not respond. Recommendation: Test a targeted meat promotion through the web channel and measure response before scaling, while avoiding unnecessary demographic assumptions.",The current campaign is 0,"Customer value: mid-value (total product spending $49). Top product: wine ($24). Preferred channel: web (3 purchases). Campaign response: did not respond. Recommendation: Test a targeted wine promotion through the web channel and measure response before scaling, while avoiding unnecessary demographic assumptions."
10,"Instruction: Review the customer market-research record and summarize purchasing behavior, strongest product preference, shopping-channel preference, response status, and a recommended marketing action.
Context: Education: Graduation; Marital status: Married; Income: $37,085; Recency: 65 days; Wine spend: $39; Fruit spend: $1; Meat spend: $16; Fish spend: $2; Sweet spend: $0; Gold spend: $3; Web purchases: 3; Catalog purchases: 0; Store purchases: 3; Latest campaign response: 0.","Customer value: low-value (total product spending $61). Top product: wine ($39). Preferred channel: web (3 purchases). Campaign response: did not respond. Recommendation: Test a targeted wine promotion through the web channel and measure response before scaling, while avoiding unnecessary demographic assumptions.",The campaign received a 0.01% increase in income and income from graduation.,"Customer value: low-value (total product spending $47). Top product: wine ($39). Preferred channel: web (3 purchases). Campaign response: did not respond. Recommendation: Test a targeted wine promotion through the web channel and measure response before scaling, while avoiding unnecessary demographic assumptions."
